yearid,source_type,fuel,pollutantid,pollutantname,sourcetypeid,fueltypeid,payload,inventory,activity,emission_factor,units
2024,Refuse Trucks,Compressed Natural Gas (CNG),100,Primary Exhaust PM10  - Total,51,3,9,979.8834108,121090574.1,8.99128E-07,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),106,Primary PM10 - Brakewear Particulate,51,3,9,10724.71552,121090574.1,9.84086E-06,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),107,Primary PM10 - Tirewear Particulate,51,3,9,1996.051223,121090574.1,1.83155E-06,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),110,Primary Exhaust PM2.5 - Total,51,3,9,866.8236012,121090574.1,7.95386E-07,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),111,Organic Carbon,51,3,9,324.9586454,121090574.1,2.98178E-07,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),112,Elemental Carbon,51,3,9,95.63705399,121090574.1,8.77553E-08,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),115,Sulfate Particulate,51,3,9,8.997433467,121090574.1,8.25593E-09,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),116,Primary PM2.5 - Brakewear Particulate,51,3,9,1340.589404,121090574.1,1.23011E-06,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),117,Primary PM2.5 - Tirewear Particulate,51,3,9,299.4061889,121090574.1,2.74731E-07,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),118,Composite - NonECPM,51,3,9,771.1866324,121090574.1,7.07631E-07,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),119,H2O (aerosol),51,3,9,0,121090574.1,0,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),121,CMAQ5.0 Unspeciated (PMOTHR),51,3,9,353.3862799,121090574.1,3.24263E-07,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),122,Non-carbon Organic Matter (NCOM),51,3,9,64.9917255,121090574.1,5.96355E-08,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),123,Total Organic Matter (TOM),51,3,9,389.9503233,121090574.1,3.57813E-07,kg/ton-km 
2024,Refuse Trucks,Compressed Natural Gas (CNG),124,Residual PM (NonECNonSO4NonOM),51,3,9,372.2387964,121090574.1,3.41561E-07,kg/ton-km 
2024,Refuse Trucks,Electricity,90,Atmospheric CO2,51,9,9,0,1546277.904,0,kg/ton-km 
2024,Refuse Trucks,Electricity,91,Total Energy Consumption,51,9,9,14427.10954,1546277.904,0.001036691,MMBTU/ton-km 
2024,Refuse Trucks,Electricity,98,CO2 Equivalent,51,9,9,0,1546277.904,0,kg/ton-km 
2024,Refuse Trucks,Electricity,106,Primary PM10 - Brakewear Particulate,51,9,9,175.9343238,1546277.904,1.26421E-05,kg/ton-km 
2024,Refuse Trucks,Electricity,107,Primary PM10 - Tirewear Particulate,51,9,9,45.16119934,1546277.904,3.24515E-06,kg/ton-km 
2024,Refuse Trucks,Electricity,116,Primary PM2.5 - Brakewear Particulate,51,9,9,21.99179135,1546277.904,1.58027E-06,kg/ton-km 
2024,Refuse Trucks,Electricity,117,Primary PM2.5 - Tirewear Particulate,51,9,9,6.774145788,1546277.904,4.86771E-07,kg/ton-km 
