sector,scc,equipment,flowname,FlowContext,ProcessContext
Construction,2270002009,Dsl - Plate Compactors,,,
Construction,2270002015,Dsl - Rollers,,,
Construction,2270002018,Dsl - Scrapers,,,
Construction,2270002021,Dsl - Paving Equipment,,,
Construction,2270002024,Dsl - Surfacing Equipment,,,
Construction,2270002027,Dsl - Signal Boards/Light Plants,,,
Construction,2270002030,Dsl - Trenchers,,,
Construction,2270002033,Dsl - Bore/Drill Rigs,,,
Construction,2270002036,Dsl - Excavators,,,
Construction,2270002039,Dsl - Concrete/Industrial Saws,,,
Construction,2270002042,Dsl - Cement & Mortar Mixers,,,
Construction,2270002045,Dsl - Cranes,,,
Construction,2270002048,Dsl - Graders,,,
Construction,2270002051,Dsl - Off-highway Trucks,,,
Construction,2270002054,Dsl - Crushing/Proc. Equipment,,,
Construction,2270002057,Dsl - Rough Terrain Forklifts,,,
Construction,2270002060,Dsl - Rubber Tire Loaders,,,
Construction,2270002066,Dsl - Tractors/Loaders/Backhoes,,,
Construction,2270002069,Dsl - Crawler Tractor/Dozers,,,
Construction,2270002072,Dsl - Skid Steer Loaders,,,
Construction,2270002075,Dsl - Off-Highway Tractors,,,
Construction,2270002078,Dsl - Dumpers/Tenders,,,
Construction,2270002081,Dsl - Other Construction Equipment,,,
Industrial,2270003010,Dsl - Aerial Lifts,,,
Industrial,2270003020,Dsl - Forklifts,,,
Industrial,2270003030,Dsl - Sweepers/Scrubbers,,,
Industrial,2270003040,Dsl - Other General Industrial Eqp,,,
Industrial,2270003050,Dsl - Other Material Handling Eqp,,,
Industrial,2270003060,Dsl - ACRefrigeration,,,
Industrial,2270003070,Dsl - Terminal Tractors,,,
Lawn/Garden,2270004031,Dsl - Leafblowers/Vacuums (com),,,
Lawn/Garden,2270004036,Dsl - Snowblowers (com),,,
Lawn/Garden,2270004046,Dsl - Commercial Mowers (com),,,
Lawn/Garden,2270004056,Dsl - Lawn & Garden Tractors (com),,,
Lawn/Garden,2270004066,Dsl - Chippers/Stump Grinders (com),,,
Lawn/Garden,2270004071,Dsl - Commercial Turf Equipment (com),,,
Lawn/Garden,2270004076,Dsl - Other Lawn & Garden Eqp. (com),,,
Agriculture,2270005010,Dsl - 2-Wheel Tractors,,,
Agriculture,2270005015,Dsl - Agricultural Tractors,,,
Agriculture,2270005020,Dsl - Combines,,,
Agriculture,2270005025,Dsl - Balers,,,
Agriculture,2270005030,Dsl - Agricultural Mowers,,,
Agriculture,2270005035,Dsl - Sprayers,,,
Agriculture,2270005040,Dsl - Tillers > 6 HP,,,
Agriculture,2270005045,Dsl - Swathers,,,
Agriculture,2270005055,Dsl - Other Agricultural Equipment,,,
Agriculture,2270005060,Dsl - Irrigation Sets,,,
Commercial,2270006005,Dsl - Generator Sets,,,
Commercial,2270006010,Dsl - Pumps,,,
Commercial,2270006015,Dsl - Air Compressors,,,
Commercial,2270006025,Dsl - Welders,,,
Commercial,2270006030,Dsl - Pressure Washers,,,
Commercial,2270006035,Dsl - Hydro Power Units,,,
Logging,2270007015,Dsl - Forest Eqp - Feller/Bunch/Skidder,,,
Airport Support,2270008005,Dsl - Airport Support Equipment,,,
Underground Mining,2270009010,Dsl - Other Underground Mining Equip,,,
Oil Field,2270010010,Dsl - Other Oil Field Equipment,,,
Railroad Support,2285002015,Dsl - Railway Maintenance,,,
Pleasure Craft,2282020005,Dsl - Inboard/Sterndrive,,,
Pleasure Craft,2282020010,Dsl - Outboard,,,
